time,zu1_xy,y,x,wspeed_10m*_xy
0 days 14:59:59,6.0,36.0,1500.0,1.1185367
0 days 14:59:59,6.0,36.0,1524.0,2.7101383
0 days 14:59:59,6.0,36.0,1548.0,0.99117684
0 days 14:59:59,6.0,36.0,1572.0,1.0284834
0 days 14:59:59,6.0,36.0,1596.0,2.4205518
0 days 14:59:59,6.0,36.0,1620.0,2.217435
0 days 14:59:59,6.0,36.0,1644.0,2.514005
0 days 14:59:59,6.0,36.0,1668.0,2.3936174
0 days 14:59:59,6.0,36.0,1692.0,2.4521005
0 days 14:59:59,6.0,36.0,1716.0,2.4539015
0 days 14:59:59,6.0,36.0,1740.0,2.1494577
0 days 14:59:59,6.0,36.0,1764.0,2.2578387
0 days 14:59:59,6.0,36.0,1788.0,2.5720022
0 days 14:59:59,6.0,36.0,1812.0,2.6747746
0 days 14:59:59,6.0,36.0,1836.0,2.6822152
0 days 14:59:59,6.0,36.0,1860.0,2.6449785
0 days 14:59:59,6.0,36.0,1884.0,2.6633337
0 days 14:59:59,6.0,36.0,1908.0,2.8201222
0 days 14:59:59,6.0,36.0,1932.0,2.718111
0 days 14:59:59,6.0,36.0,1956.0,1.6479036
0 days 14:59:59,6.0,36.0,1980.0,2.5206842
0 days 14:59:59,6.0,36.0,2004.0,1.5646871
0 days 14:59:59,6.0,36.0,2028.0,1.7183611
0 days 14:59:59,6.0,36.0,2052.0,1.2063702
0 days 14:59:59,6.0,36.0,2076.0,2.6267047
0 days 14:59:59,6.0,36.0,2100.0,2.377085
0 days 14:59:59,6.0,36.0,2124.0,2.4472332
0 days 14:59:59,6.0,36.0,2148.0,2.412886
0 days 14:59:59,6.0,36.0,2172.0,2.3371778
0 days 14:59:59,6.0,36.0,2196.0,2.0437026
0 days 14:59:59,6.0,36.0,2220.0,2.2186418
0 days 14:59:59,6.0,36.0,2244.0,2.3218176
0 days 14:59:59,6.0,36.0,2268.0,2.4708188
0 days 14:59:59,6.0,36.0,2292.0,2.2726946
0 days 14:59:59,6.0,36.0,2316.0,0.82272047
0 days 14:59:59,6.0,36.0,2340.0,2.0166597
0 days 14:59:59,6.0,36.0,2364.0,1.9778999
0 days 14:59:59,6.0,36.0,2388.0,0.9299913
0 days 14:59:59,6.0,36.0,2412.0,0.92669064
0 days 14:59:59,6.0,36.0,2436.0,2.2020035
0 days 14:59:59,6.0,36.0,2460.0,2.3344996
0 days 14:59:59,6.0,36.0,2484.0,0.86758506
0 days 14:59:59,6.0,36.0,2508.0,1.8196069
0 days 14:59:59,6.0,36.0,2532.0,2.0380747
0 days 14:59:59,6.0,36.0,2556.0,0.9308091
0 days 14:59:59,6.0,36.0,2580.0,2.3645363
0 days 14:59:59,6.0,36.0,2604.0,2.3186047
0 days 14:59:59,6.0,36.0,2628.0,1.5219674
0 days 14:59:59,6.0,36.0,2652.0,2.7086709
0 days 14:59:59,6.0,36.0,2676.0,2.6882257
0 days 14:59:59,6.0,36.0,2700.0,2.2984886
0 days 14:59:59,6.0,36.0,2724.0,2.422636
0 days 14:59:59,6.0,36.0,2748.0,2.7712228
0 days 14:59:59,6.0,36.0,2772.0,2.2023873
0 days 14:59:59,6.0,36.0,2796.0,2.2721016
0 days 14:59:59,6.0,36.0,2820.0,2.1662476
0 days 14:59:59,6.0,36.0,2844.0,2.0916789
0 days 14:59:59,6.0,36.0,2868.0,2.2896936
0 days 14:59:59,6.0,36.0,2892.0,2.3141596
0 days 14:59:59,6.0,36.0,2916.0,1.9624748
0 days 14:59:59,6.0,36.0,2940.0,2.0100584
0 days 14:59:59,6.0,36.0,2964.0,2.0378199
