time,zu1_xy,y,x,rad_net*_xy
0 days 14:59:59,6.0,60.0,1188.0,402.7178
0 days 14:59:59,6.0,60.0,1212.0,-18.594936
0 days 14:59:59,6.0,60.0,1236.0,398.04483
0 days 14:59:59,6.0,60.0,1260.0,7.306108
0 days 14:59:59,6.0,60.0,1284.0,-17.29659
0 days 14:59:59,6.0,60.0,1308.0,397.25278
0 days 14:59:59,6.0,60.0,1332.0,396.17197
0 days 14:59:59,6.0,60.0,1356.0,-27.33257
0 days 14:59:59,6.0,60.0,1380.0,-44.73307
0 days 14:59:59,6.0,60.0,1404.0,276.99734
0 days 14:59:59,6.0,60.0,1428.0,244.31662
0 days 14:59:59,6.0,60.0,1452.0,-30.842531
0 days 14:59:59,6.0,60.0,1476.0,237.24501
0 days 14:59:59,6.0,60.0,1500.0,239.07758
0 days 14:59:59,6.0,60.0,1524.0,249.04404
0 days 14:59:59,6.0,60.0,1548.0,-28.983122
0 days 14:59:59,6.0,60.0,1572.0,238.71323
0 days 14:59:59,6.0,60.0,1596.0,331.20868
0 days 14:59:59,6.0,60.0,1620.0,232.53185
0 days 14:59:59,6.0,60.0,1644.0,232.33447
0 days 14:59:59,6.0,60.0,1668.0,233.80414
0 days 14:59:59,6.0,60.0,1692.0,248.64516
0 days 14:59:59,6.0,60.0,1716.0,251.50035
0 days 14:59:59,6.0,60.0,1740.0,389.02808
0 days 14:59:59,6.0,60.0,1764.0,233.52872
0 days 14:59:59,6.0,60.0,1788.0,234.91705
0 days 14:59:59,6.0,60.0,1812.0,234.85738
0 days 14:59:59,6.0,60.0,1836.0,232.41978
0 days 14:59:59,6.0,60.0,1860.0,233.22725
0 days 14:59:59,6.0,60.0,1884.0,233.08543
0 days 14:59:59,6.0,60.0,1908.0,230.0625
0 days 14:59:59,6.0,60.0,1932.0,-33.257072
0 days 14:59:59,6.0,60.0,1956.0,230.61739
0 days 14:59:59,6.0,60.0,1980.0,-40.199234
0 days 14:59:59,6.0,60.0,2004.0,244.45952
0 days 14:59:59,6.0,60.0,2028.0,250.94281
0 days 14:59:59,6.0,60.0,2052.0,-49.63505
0 days 14:59:59,6.0,60.0,2076.0,248.6271
0 days 14:59:59,6.0,60.0,2100.0,251.35025
0 days 14:59:59,6.0,60.0,2124.0,-68.66589
0 days 14:59:59,6.0,60.0,2148.0,282.58774
0 days 14:59:59,6.0,60.0,2172.0,286.01917
0 days 14:59:59,6.0,60.0,2196.0,284.45825
0 days 14:59:59,6.0,60.0,2220.0,297.2002
0 days 14:59:59,6.0,60.0,2244.0,298.07208
0 days 14:59:59,6.0,60.0,2268.0,252.11652
0 days 14:59:59,6.0,60.0,2292.0,237.48323
0 days 14:59:59,6.0,60.0,2316.0,334.8554
0 days 14:59:59,6.0,60.0,2340.0,353.85992
0 days 14:59:59,6.0,60.0,2364.0,245.69727
0 days 14:59:59,6.0,60.0,2388.0,238.9126
0 days 14:59:59,6.0,60.0,2412.0,241.3716
0 days 14:59:59,6.0,60.0,2436.0,264.15268
0 days 14:59:59,6.0,60.0,2460.0,239.43071
0 days 14:59:59,6.0,60.0,2484.0,227.05215
0 days 14:59:59,6.0,60.0,2508.0,358.5701
0 days 14:59:59,6.0,60.0,2532.0,249.54665
0 days 14:59:59,6.0,60.0,2556.0,242.93568
0 days 14:59:59,6.0,60.0,2580.0,238.03091
0 days 14:59:59,6.0,60.0,2604.0,270.98758
0 days 14:59:59,6.0,60.0,2628.0,271.43686
0 days 14:59:59,6.0,60.0,2652.0,390.6355
0 days 14:59:59,6.0,60.0,2676.0,5.6552563
0 days 14:59:59,6.0,60.0,2700.0,-25.161203
0 days 14:59:59,6.0,60.0,2724.0,-53.98158
0 days 14:59:59,6.0,60.0,2748.0,352.23438
0 days 14:59:59,6.0,60.0,2772.0,255.27654
0 days 14:59:59,6.0,60.0,2796.0,254.8101
0 days 14:59:59,6.0,60.0,2820.0,363.90863
0 days 14:59:59,6.0,60.0,2844.0,248.31718
0 days 14:59:59,6.0,60.0,2868.0,250.46721
0 days 14:59:59,6.0,60.0,2892.0,254.1905
0 days 14:59:59,6.0,60.0,2916.0,354.69022
0 days 14:59:59,6.0,60.0,2940.0,259.35245
0 days 14:59:59,6.0,60.0,2964.0,258.74957
0 days 14:59:59,6.0,60.0,2988.0,257.68295
0 days 14:59:59,6.0,60.0,3012.0,277.289
0 days 14:59:59,6.0,60.0,3036.0,249.04428
0 days 14:59:59,6.0,60.0,3060.0,-62.149025
0 days 14:59:59,6.0,84.0,12.0,412.8421
0 days 14:59:59,6.0,84.0,36.0,437.42596
0 days 14:59:59,6.0,84.0,60.0,445.85025
0 days 14:59:59,6.0,84.0,84.0,394.37112
0 days 14:59:59,6.0,84.0,108.0,395.78766
0 days 14:59:59,6.0,84.0,132.0,399.4758
0 days 14:59:59,6.0,84.0,156.0,421.53302
0 days 14:59:59,6.0,84.0,180.0,399.48642
0 days 14:59:59,6.0,84.0,204.0,422.73996
0 days 14:59:59,6.0,84.0,228.0,409.92694
0 days 14:59:59,6.0,84.0,252.0,258.96338
0 days 14:59:59,6.0,84.0,276.0,214.69652
0 days 14:59:59,6.0,84.0,300.0,215.60355
0 days 14:59:59,6.0,84.0,324.0,-16.054388
0 days 14:59:59,6.0,84.0,348.0,211.42967
0 days 14:59:59,6.0,84.0,372.0,196.58614
0 days 14:59:59,6.0,84.0,396.0,215.05547
0 days 14:59:59,6.0,84.0,420.0,211.26845
0 days 14:59:59,6.0,84.0,444.0,210.81906
0 days 14:59:59,6.0,84.0,468.0,211.13593
0 days 14:59:59,6.0,84.0,492.0,213.86378
0 days 14:59:59,6.0,84.0,516.0,-18.021635
0 days 14:59:59,6.0,84.0,540.0,215.67651
0 days 14:59:59,6.0,84.0,564.0,217.4148
0 days 14:59:59,6.0,84.0,588.0,1.5569544
0 days 14:59:59,6.0,84.0,612.0,218.70818
0 days 14:59:59,6.0,84.0,636.0,218.62349
0 days 14:59:59,6.0,84.0,660.0,219.17831
0 days 14:59:59,6.0,84.0,684.0,-14.718911
0 days 14:59:59,6.0,84.0,708.0,15.385757
0 days 14:59:59,6.0,84.0,732.0,-15.562448
0 days 14:59:59,6.0,84.0,756.0,218.50432
0 days 14:59:59,6.0,84.0,780.0,-13.942691
0 days 14:59:59,6.0,84.0,804.0,218.91455
0 days 14:59:59,6.0,84.0,828.0,216.9006
0 days 14:59:59,6.0,84.0,852.0,218.54857
0 days 14:59:59,6.0,84.0,876.0,-15.3266115
0 days 14:59:59,6.0,84.0,900.0,220.54677
0 days 14:59:59,6.0,84.0,924.0,-12.503392
0 days 14:59:59,6.0,84.0,948.0,225.47736
0 days 14:59:59,6.0,84.0,972.0,-0.64053303
0 days 14:59:59,6.0,84.0,996.0,408.01852
0 days 14:59:59,6.0,84.0,1020.0,402.48483
0 days 14:59:59,6.0,84.0,1044.0,-16.346964
0 days 14:59:59,6.0,84.0,1068.0,404.25803
0 days 14:59:59,6.0,84.0,1092.0,400.99042
0 days 14:59:59,6.0,84.0,1116.0,398.65173
0 days 14:59:59,6.0,84.0,1140.0,219.6988
0 days 14:59:59,6.0,84.0,1164.0,-22.696918
0 days 14:59:59,6.0,84.0,1188.0,-20.29089
0 days 14:59:59,6.0,84.0,1212.0,-16.803677
0 days 14:59:59,6.0,84.0,1236.0,397.5305
0 days 14:59:59,6.0,84.0,1260.0,398.49954
0 days 14:59:59,6.0,84.0,1284.0,-15.339768
0 days 14:59:59,6.0,84.0,1308.0,396.55447
0 days 14:59:59,6.0,84.0,1332.0,395.56207
0 days 14:59:59,6.0,84.0,1356.0,-26.891115
0 days 14:59:59,6.0,84.0,1380.0,366.9462
0 days 14:59:59,6.0,84.0,1404.0,-113.628654
0 days 14:59:59,6.0,84.0,1428.0,-70.62826
0 days 14:59:59,6.0,84.0,1452.0,-25.49861
0 days 14:59:59,6.0,84.0,1476.0,-62.557426
0 days 14:59:59,6.0,84.0,1500.0,249.09068
0 days 14:59:59,6.0,84.0,1524.0,254.28162
0 days 14:59:59,6.0,84.0,1548.0,-29.958736
0 days 14:59:59,6.0,84.0,1572.0,242.12447
0 days 14:59:59,6.0,84.0,1596.0,341.66818
0 days 14:59:59,6.0,84.0,1620.0,233.66292
0 days 14:59:59,6.0,84.0,1644.0,232.80832
0 days 14:59:59,6.0,84.0,1668.0,236.01115
0 days 14:59:59,6.0,84.0,1692.0,248.73636
0 days 14:59:59,6.0,84.0,1716.0,254.8241
